q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat agree,Agree,Somewhat disagree,Agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Agree,Somewhat agree,Agree,Strongly Agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Agree,Disagree,Agree
Somewhat disagree,Disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree
Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat agree
Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
Agree,Disagree,Disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree
Disagree,Disagree,Somewhat agree,Agree,Agree,Strongly Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree
Somewhat agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Agree,Strongly Disagree,Agree
Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly Agree,Somewhat disagree,Disagree,Disagree
Strongly Disagree,Somewhat disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree
Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Strongly Agree,Somewhat disagree,Somewhat agree,Somewhat disagree
Agree,Strongly Agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Somewhat disagree
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly Disagree,Somewhat disagree
